Time (ms),Position,Velocity,Accleration
0,0.713269995,-0.000666181,-0.001420408
15,0.713259652,-0.000666181,-0.001420408
32,0.713248677,-0.000696343,-0.001420408
48,0.713236673,-0.000713054,0.004549178
65,0.713225146,-0.00054622,0.015285984
82,0.713218101,-0.000193331,0.023049414
98,0.713218766,0.00021441,0.016283428
115,0.713225177,0.000344022,-0.00316479
132,0.713230463,0.000106807,-0.019864418
148,0.713228702,-0.000311503,-0.019336361
165,0.713220183,-0.000531293,-0.003232964
182,0.713210638,-0.000421424,0.014851203
198,0.713206276,-4.12029E-05,0.021055865
215,0.713209278,0.000273419,0.005979542
232,0.713215573,0.000162102,-0.031709099
248,0.713214627,-0.000772981,-0.088122308
265,0.713190064,-0.002745935,-0.154560646
282,0.713121266,-0.006028043,-0.205854549
298,0.712991139,-0.009539135,-0.162916732
315,0.712806474,-0.011404295,-0.070728672
332,0.712603393,-0.01194391,0.016595264
348,0.712412325,-0.010856651,0.101500392
365,0.712245123,-0.008594397,0.14185514
382,0.712120116,-0.006033576,0.140419071
398,0.712046015,-0.003960567,0.041953217
415,0.711989417,-0.00464912,-0.152686298
432,0.711887945,-0.009151901,-0.340293269
448,0.711687404,-0.015878798,-0.424185182
465,0.711363945,-0.023150012,-0.528704016
482,0.710900304,-0.033854735,-0.746494275
498,0.710246739,-0.047784324,-0.951833805
515,0.709323421,-0.06526525,-1.36571154
532,0.70802772,-0.094218516,-1.979789038
548,0.70621421,-0.130598289,-2.309601034
565,0.703717977,-0.17043535,-2.820511614
582,0.700419408,-0.226495683,-3.385361932
598,0.696243619,-0.282152294,-3.239560813
615,0.691108382,-0.33340119,-3.789424949
632,0.684907979,-0.410992742,-4.514096998
648,0.677545622,-0.482366391,-3.787014889
665,0.668989888,-0.535964233,-3.845193189
682,0.659322838,-0.61310296,-3.739058433
698,0.64875749,-0.659353162,-1.833341734
715,0.637564184,-0.673603237,-2.180437169
732,0.62585498,-0.733488025,-3.834250845
748,0.613359079,-0.800133515,-4.218269126
765,0.599450574,-0.872690907,-5.753230543
782,0.583687588,-0.995743353,-4.904314446
798,0.566591043,-1.034533283,0.868293488
815,0.54954799,-0.967089668,3.540878615
832,0.533709995,-0.91414341,4.155804907
848,0.519381257,-0.829948106,5.158013504
865,0.506321707,-0.743928965,2.926980139
882,0.494087672,-0.730430781,0.813607302
898,0.482217491,-0.717079924,1.169276799
915,0.470424035,-0.691844647,0.462686363
932,0.458694773,-0.701348587,0.666331308
948,0.447279531,-0.669855714,3.18816108
965,0.436589535,-0.596139272,3.80088943
982,0.427010796,-0.540625473,4.1514943
998,0.418748894,-0.45913996,5.39602714
1015,0.411859178,-0.362556578,5.286476603
1032,0.40642197,-0.279399755,5.74701744
1048,0.402638986,-0.172905002,6.749808749
1065,0.400716105,-0.056656067,6.772096111
1082,0.400712679,0.057346266,6.976531073
1098,0.402608532,0.173569459,6.889784082
1115,0.406440471,0.28470914,7.182064746
1132,0.412288643,0.41775966,7.95784122
1148,0.42022654,0.547317901,7.566309313
1165,0.430350134,0.667447867,8.955393037
1182,0.442919768,0.851801264,11.49383135
1198,0.458459575,1.046744302,11.20486896
1215,0.47746233,1.22156194,12.3769545
1232,0.499992681,1.467560755,13.77452275
1248,0.525891835,1.67612119,11.47472681
1265,0.555304681,1.84622674,13.81394826
1282,0.588663544,2.145795431,16.13396388
1298,0.62611593,2.378647548,10.4976651
1315,0.667158913,2.492218379,9.203039076
1332,0.710851355,2.691550876,7.028965789
1348,0.755980092,2.72417425,-4.073220736
1365,0.800749105,2.557134592,-8.644631534
1382,0.842922668,2.430256778,-11.60225773
1398,0.880947579,2.174260087,-16.8109477
1415,0.914673251,1.875495504,-13.33309419
1432,0.944714426,1.720934885,-10.83624101
1448,0.971464102,1.517899551,-13.78008524
1465,0.994805111,1.266192072,-12.54832414
1482,1.014514632,1.09125653,-10.87092338
1498,1.030816576,0.9074516,-10.41534482
1515,1.044460535,0.747550151,-7.101509482
1532,1.056233282,0.666000278,-5.570023445
1548,1.066438544,0.563739377,-7.23443981
1565,1.074836681,0.427263764,-8.018001748
1582,1.080965512,0.291127318,-9.17668505
1598,1.084443882,0.124433157,-10.29140077
1615,1.085071807,-0.048488907,-10.28466211
1632,1.08279526,-0.225245354,-10.59893388
1648,1.07763871,-0.398253726,-9.924653147
1665,1.069652887,-0.552758908,-10.14594401
1682,1.058844907,-0.743215822,-11.19885327
1698,1.045126765,-0.922321066,-10.02752192
1715,1.028408312,-1.074124045,-11.18198174
1732,1.008606547,-1.302508445,-13.5059666
1748,0.985425533,-1.519820943,-12.05264185
1765,0.958452456,-1.700245626,-13.33032473
1782,0.927617182,-1.973051984,-13.92099375
1798,0.89334174,-2.15963842,-8.00275876
1815,0.856349114,-2.237143023,-7.901600234
1832,0.817278878,-2.428292828,-9.494519927
1848,0.776215451,-2.550462181,-4.083509921
1865,0.733113626,-2.563048656,-2.177792903
1882,0.689071796,-2.624507139,3.018545342
1898,0.64650489,-2.463436659,14.93290625
1915,0.607778387,-2.131721233,16.67081348
1932,0.574026368,-1.896629001,15.6972415
1948,0.54518963,-1.613712264,17.36900201
1965,0.520773863,-1.323451935,13.23464584
1982,0.500192264,-1.163734305,8.594924357
1998,0.482370631,-1.039819431,6.474066794
2015,0.465878223,-0.950090101,3.515831919
2032,0.450067568,-0.920281146,4.054692052
2048,0.435508945,-0.816285263,8.347870674
2065,0.423130154,-0.644801413,9.907104029
2082,0.413585697,-0.479443726,11.24662658
2098,0.407308511,-0.273662736,12.76179831
2115,0.404554826,-0.058304382,12.32871821
2132,0.405326162,0.145513683,11.7379937
2148,0.409356778,0.32904941,9.716882542
2165,0.416184793,0.466170807,7.753314321
2182,0.425206585,0.592662097,6.144895306
2198,0.435742642,0.668952352,3.502016439
2215,0.447282013,0.70822864,4.087051327
2232,0.459822416,0.807912097,6.48126661
2248,0.473943112,0.922110438,6.371169668
2265,0.49025206,1.018160696,6.550691802
2282,0.508560576,1.144833959,5.547787234
2298,0.528031581,1.201237675,1.883500885
2315,0.548201419,1.206989489,2.122006666
2332,0.569069224,1.273385901,1.569868776
2348,0.590223154,1.258795158,-3.936037641
2365,0.610609464,1.143496659,-6.25900504
2382,0.62910204,1.045988987,-7.227914722
2398,0.6451271,0.904975473,-8.256874607
2415,0.658966231,0.773512125,-5.102298532
2432,0.671426513,0.731497323,-2.770173919
2448,0.683105643,0.682096385,-4.180880885
2465,0.693935693,0.593528254,-5.325109867
2482,0.703285603,0.50104265,-7.037530107
2498,0.710470101,0.361289761,-8.770007929
2515,0.715208165,0.211632388,-7.90810222
2532,0.717665602,0.092414285,-6.548790194
2548,0.718257837,-0.004477688,-4.76952152
2565,0.717517838,-0.064979925,-2.609303405
2582,0.716048519,-0.093194004,-0.691406627
2598,0.714442436,-0.087796344,1.005155312
2615,0.71315124,-0.060023879,1.726333294
2632,0.712401624,-0.029101012,1.761554158
2648,0.712190907,-0.001892591,1.264265413
2665,0.712339169,0.012619747,0.558770287
2682,0.712619978,0.017105598,0.558770287
2698,0.712903653,0.017105598,0.558770287
